Continent,Year,Nitrogen oxide (NOx),Sulphur dioxide (SO₂) emissions,Carbon monoxide (CO) emissions,Black carbon (BC) emissions,Ammonia (NH₃) emissions,Non-methane volatile organic compounds (NMVOC) emissions
Africa,1922,168820.4463264,314171.0125592,11347113.8951,145241.552513,912577.18775,1537633.43607
Africa,1923,185877.59559759998,365547.0554845,11577611.9956,147814.054825,926886.567643,1573696.534641
Africa,1924,194726.134426,385914.435831,11813988.72283,150451.2283865,941716.138672,1609432.74496
Africa,1925,204839.3783745,404018.5734737,12005117.7091,152365.048446,970235.3145099999,1639492.33204
Africa,1926,214565.1200183,441428.70909480006,12278952.905,155346.983672,995818.93467,1677550.96425
Africa,1927,217653.844494,439316.6174179,12635676.2581,159225.700381,1018574.7874660001,1730647.767
Africa,1928,225320.4101957,468507.1132785,12904796.542299999,162344.34808999998,1036213.25904,1770502.49085
Africa,1929,232322.282728,469501.7136428,13155571.3362,165225.110039,1050272.83751,1805288.75534
Africa,1930,231051.6335608,468043.91047255,13384279.9553,167780.8327025,1062284.929868,1834891.718692
Africa,1931,225694.645148,405274.1895537,13552556.3432,169730.972755,1077155.10984,1857506.17179
Africa,1932,221681.45183,331386.5303684,13696073.1894,171196.904476,1089271.1733,1878884.9465100002
Africa,1933,229936.324449,629094.87525,13894910.9049,173207.246885,1100433.2160739999,1909325.56118
Africa,1934,244346.45493,782702.632396,14119536.1244,175530.124615,1110936.10991,1944129.9390500002
Africa,1935,257351.818571,823459.6448939999,14365150.4072,178269.433482,1122044.15363,1980797.16096
Africa,1936,272603.72138400003,838932.4711776,14655963.9845,181391.025592,1140694.751805,2023759.13879
Africa,1937,284606.627896,1079015.8133506998,15010237.068599999,184791.27221999998,1159053.1295099999,2072482.69754
Africa,1938,299566.272023,1079156.9527583,15379580.3586,188401.525952,1176344.16335,2126522.03848
Africa,1939,329520.42448,1104066.5325238002,15756398.156100001,191956.11415,1191761.43687,2196845.72685
Africa,1940,353567.85353,1279884.1438016,16088417.96247,195067.748957,1204857.74726,2251709.407867
Africa,1941,380849.8664175,1242090.6971163,16397315.3022,197842.329617,1220148.13073,2305866.29256
Africa,1942,397995.66914500005,1328766.1772794,16799824.354,201730.685964,1236436.491765,2362142.76118
Africa,1943,408148.985454,1289304.037094,17157062.1606,205009.308707,1253788.76597,2416847.16192
Africa,1944,435538.285171,1269168.8224853,17562908.3502,208652.78411500002,1273137.18473,2480337.91141
Africa,1945,444941.540972,1240264.0792795,17912803.3057,211887.74392,1293094.32495,2532647.52239
Africa,1946,449433.11645100004,1171822.804418,18375952.2916,215618.702078,1322466.77387,2595082.69453
Africa,1947,455643.301436,1215695.184541,18682225.1225,218203.241584,1350947.42292,2640040.42324
Africa,1948,485553.21149300004,1341434.283534,19201454.4292,222990.674786,1384248.4500499999,2735486.93549
Africa,1949,518480.66544,1485092.3522866,19757912.193,228467.266603,1424514.009245,2829887.10282
Africa,1950,681581.536509,1650296.9903954002,20804084.8374,242452.479146,1464771.77643,3152160.0142200002
Africa,1951,725328.374266,1717260.1705353998,21129227.728,247945.762228,1506314.360715,3237086.097714
Africa,1952,774194.070837,1827594.608528,21517499.7101,253510.035141,1545251.73703,3338857.31389
Africa,1953,792968.264415,1714935.590615,21759701.0097,258411.387782,1584982.603675,3418775.41723
Africa,1954,826440.3332029999,1782693.93067,22067377.1525,263633.133449,1620772.25503,3505485.32422
Africa,1955,865769.2735519999,1863721.261062,22360852.9449,269150.825817,1651669.61108,3587097.78674
Africa,1956,884358.963782,2284727.1872597,22563448.889200002,274240.927748,1686178.319465,3667282.09693
Africa,1957,918625.6608069999,2381589.515205,22801575.8967,279474.962494,1727363.781375,3771097.2137100003
Africa,1958,951937.394531,2332122.996112,23034878.1352,285425.612181,1776231.1802100001,3844383.21661
Africa,1959,942560.899491,2749126.735819,23132089.362,290281.424717,1825568.82125,3928227.64649
Africa,1960,999727.787063,2884090.0362025,23425088.42,301939.386044,1866523.42591,4168834.47591
Africa,1961,1040354.545376,2931868.107276,23676611.3153,312712.79347,1901055.38785,4389793.59687
Africa,1962,1069862.470772,2919745.6155204996,23878015.26957,323034.66877,1953726.02673,4611076.11462
Africa,1963,1124561.3483,3060273.1995389997,24168249.13149,333707.06389,2007017.2801,4896667.47849
Africa,1964,1231749.574426,3357268.870861,24734173.89985,347521.029126,2051616.36661,5249780.5726499995
Africa,1965,1323860.39827,3573167.492961,25285702.24379,359886.223785,2115087.8642700003,5620000.89416
Africa,1966,1393159.1467900001,3640583.740767,25905314.12602,375838.832797,2165366.90858,6057187.73129
Africa,1967,1412670.323476,3653565.0783470003,26403693.86126,387701.009815,2232209.12879,6272059.41188
Africa,1968,1480973.565384,3782007.074558,26968752.00753,404859.72002999997,2291191.77434,6737830.038904
Africa,1969,1571987.737445,3952091.590182,27682865.63952,420076.520276,2343145.17542,7339954.46782
Africa,1970,1643169.14124,4023712.825733,28485426.41585,433165.687534,2490403.78683,7952541.930188
Africa,1971,1723700.604185,4030036.735902,28526870.66261,433412.78751,2534478.79482,7933273.17448
Africa,1972,1837850.255665,4255804.136534,29471472.62709,451784.77093,2579745.26655,8144695.57028
Africa,1973,1985337.58309,4340648.543412,30438352.1915,463398.88825899997,2616225.22194,8391915.28094
Africa,1974,2066282.45794,4499147.93654,31205706.55826,467171.200234,2661792.87599,8346938.7655299995
Africa,1975,2173007.96748,4498291.656055,32062178.00183,474807.7105,2747150.96475,8309087.50665
Africa,1976,2350631.80138,4749021.120261,33168275.829549998,499573.51633,2815248.57515,8825614.63424
Africa,1977,2442609.22115,4861506.001933,34077832.3635,515374.630786,2890072.78753,9089629.64288
Africa,1978,2572425.41481,4876973.709458,35179583.2143,535930.10963,2985246.69348,9236419.36595
Africa,1979,2623803.26895,4748200.2049279995,36033896.42255,535583.82528,3093736.39856,9599678.74954
Africa,1980,2777761.36443,4999778.072696,37187894.3781,547270.110235,3222555.75525,9591027.3845
Africa,1981,2928164.60823,5099590.83223,38064324.8617,542934.59501,3317830.25129,9272725.8308
Africa,1982,2956718.40129,5166030.63163,38827520.24004,550233.59249,3382934.65352,9331719.547
Africa,1983,2997458.65407,5145038.368523,39656992.427600004,563339.874,3444580.79654,9490198.26475
Africa,1984,3083522.00508,5173645.989757,40814722.76487,584846.4221,3485465.63115,9869335.51105
Africa,1985,3170787.40559,5199376.943186,41952487.41815,605859.75407,3576635.75216,10147599.82724
Africa,1986,3208034.6361700003,4521412.098463,43066204.20703,621784.69547,3693898.4188599996,10306970.67887
Africa,1987,3313848.9349800004,5009928.488252,44292544.2215,625931.6052700001,3743407.70494,10516922.90965
Africa,1988,3421375.08943,5190399.75146,45606506.6959,640919.87294,3860198.6085,10824212.7359
Africa,1989,3485860.38344,5260024.563543,46918284.4742,659311.6768,3954306.15808,11148294.54767
Africa,1990,3599813.36742,4965333.623393,47753455.9816,686691.78397,4071767.12008,11482858.11785
Africa,1991,3668780.4679300003,4690765.92571,48920569.5865,706068.43226,4148182.17943,11866709.26356
Africa,1992,3715386.88739,4756534.47068,49909822.2073,715082.80628,4237765.63468,12149307.3182
Africa,1993,3726969.49335,4528565.98317,50195001.754,735747.84001,4313887.78086,12339204.9804
Africa,1994,3784710.93267,4295850.93166,52420062.9973,752615.36185,4425514.14608,12952370.74783
Africa,1995,3971497.4244500003,4416606.890713,53773135.0259,779904.91503,4565998.09775,13448927.0278
Africa,1996,4102661.4269399997,4607028.98342,54694610.8254,796914.98277,4702783.39033,13927684.4648
Africa,1997,4269506.4089,4746972.538114999,55102079.081,809939.2244899999,4801301.7932,14282923.56855
Africa,1998,4362348.2303,4769890.713570001,57008590.8446,821191.49763,4952446.41422,14754537.36823
Africa,1999,4386105.477,4500704.71296,57212051.6371,838365.53324,5101198.55612,15254602.90184
Africa,2000,4472012.8236,4380759.83729,58068008.4739,834949.46894,5214457.09282,15685632.3662
Africa,2001,4874040.0195,5010955.964864001,60483499.7539,841886.97537,5383809.2696,16286003.7986
Africa,2002,5020045.3491,5104700.11472,60824200.5308,864983.23332,5487808.1352,16605412.9428
Africa,2003,5127258.89654,4977168.920290001,61441668.592,893300.09712,5629926.36174,17206615.2556
Africa,2004,5392335.2805,5456901.582604,63172636.939899996,933430.05801,5813275.70226,18247130.479000002
Africa,2005,5481082.67753,5225554.09436,64735693.027499996,950879.8502,5925292.98578,18971952.1224
Africa,2006,5613026.03605,5351707.00597,65427336.870000005,977718.62795,6075549.82405,19092564.6955
Africa,2007,5788404.05377,5369978.129834,66446387.5326,994892.17942,6257328.19377,19542634.1819
Africa,2008,6077942.09805,5699889.954735,68178161.9342,1028108.5812199999,6443346.63257,20039372.9378
Africa,2009,6074074.6072,5553770.21537,69022231.8907,1049938.91333,6584609.010530001,20176830.3523
Africa,2010,6506854.9667,6020852.067965,70596635.8162,1050067.54931,6850701.04942,20647123.772099998
Africa,2011,6471682.8485,5795268.27177,72470788.62550001,1057049.56664,6969817.625440001,20887248.4575
Africa,2012,6786240.7755,6010487.07427,75924685.1516,1098190.25472,7227621.02071,22306088.3317
Africa,2013,7163144.86076,6113662.135290001,77942935.3167,1128558.96931,7467062.915800001,22602666.8217
Africa,2014,7412759.91776,6104759.241225,79521995.7222,1148139.15298,7585055.96394,22777444.731
Africa,2015,7391354.97753,5527532.30083,80212640.8403,1152592.57171,7730161.6645,23039791.4996
Africa,2016,7540319.3281,5553397.29668,81899779.2887,1162463.31579,7983127.35248,23527984.2646
Africa,2017,7523216.89324,5377227.60423,83599265.1244,1195265.5164299998,8172888.74285,23876537.5512
Africa,2018,7589137.1835,5294089.2139,83173068.9531,1182556.83821,8209881.81388,23904239.7698
Africa,2019,7617254.14706,5306022.826695999,83650081.5118,1186610.36233,8386067.0299,24117871.5423
Africa,2020,7059201.2166,4701477.3152,85180473.2686,1159522.46925,8565615.12277,24691400.3853
Africa,2021,7423639.69377,4927970.5831,86714684.4189,1195173.1827,8749370.067499999,24952512.0989
Africa,2022,7431502.6397,4995157.09975,87050237.0374,1191946.44053,8922146.17087,25184731.3655
Asia,1922,901753.080065,1655627.00683661,67188671.97424799,751080.7597484799,5072008.741276,8215531.743446
Asia,1923,957615.0558135,1780358.72867234,67712072.35411,759909.8015506,5122297.819466,8336304.316670001
Asia,1924,1000374.5796119999,1881506.5647895301,68209490.871212,767966.20137003,5164410.65794,8438410.386054
Asia,1925,1027071.5581833001,1870637.03259967,68462007.27789,772055.5834443,5315725.748777,8523859.816008
Asia,1926,1044349.981878,1876464.12083169,68754125.687887,776243.10977673,5427264.185667001,8584148.260866
Asia,1927,1115815.217348,2024966.44134164,69390111.610935,785482.8757511199,5498758.633994,8727840.693995
Asia,1928,1135802.5027609,2045694.50394185,69809665.115803,791553.6354074299,5555778.550364,8809633.014955001
Asia,1929,1198155.4789235,2116336.2003422603,70407601.987607,799463.4714509001,5599450.76442,8981308.544549
Asia,1930,1207686.3839579,2211762.6477022,70793001.324692,805305.9341346,5610808.03106,9053584.339094
Asia,1931,1201439.9923178,2192054.59930666,71142267.266304,810434.25955347,5658288.678354001,9108702.734308
Asia,1932,1208716.256967,2191089.27404945,71577002.276468,815800.8790459,5678309.20179,9202665.437055001
Asia,1933,1284584.431174,2378301.98642792,72340265.93383,826343.35262292,5697613.310024001,9350973.460564999
Asia,1934,1407090.8491524,2705084.54657229,73344044.737335,840362.8934871,5713610.1671629995,9561514.361688
Asia,1935,1503006.9210524,2954781.49335322,74211226.967733,853172.66249427,5729502.8750599995,9754608.241572
Asia,1936,1603952.5686701,3226669.23846688,75024054.19873099,866098.01148844,5807904.678645,9947699.973117
Asia,1937,1676067.7325018,3303333.68526686,75770192.60924,877142.70041761,5877857.98767,10177256.044816
Asia,1938,1741664.3796896,3452722.02101285,76564168.458628,888195.9745755,5937463.194596999,10336188.445211
Asia,1939,1855935.9004923,3693585.940665903,77555720.6189,903728.20345746,5986988.86555,10553907.930585
Asia,1940,2024884.327231,4231213.59761366,78789833.218749,924483.53877794,6026256.138465,10672419.472968
Asia,1941,2062569.694175,4362611.282354814,79713204.970522,933923.606737884,6070569.433198,10728960.607015
Asia,1942,1946476.2517408,4088092.810731458,79781376.812527,931193.789210145,6088296.576429,10467123.251094
Asia,1943,2019580.3964930002,4071570.56399137,80226307.718929,928767.369864164,6126502.280100999,10764637.013148
Asia,1944,1957631.1964935,3923633.87443664,80401527.211363,926850.1286948901,6174115.65883,10609843.132772
Asia,1945,1618314.2008734,2933591.71960187,78634962.740758,899863.026920284,6217189.7397650005,10484946.260708
Asia,1946,1603790.6654504999,2783474.431460725,78507083.740353,897811.04312131,6312937.280953,10629875.070697
Asia,1947,1674411.3684824,3062124.39441736,73718309.740886,826974.70434024,6375008.203504,10082496.803065
Asia,1948,1752909.8837412,3168019.106770926,74302397.545053,831944.601263034,6485127.780062,10520208.931673
Asia,1949,2017975.876809,3789304.45419248,75887818.623044,854797.2252478601,6645694.500418,10983624.432141999
Asia,1950,2236030.942973,4346666.285841503,77208190.597409,859163.39999131,6809316.872696,11429742.429043
Asia,1951,2501029.97627,4944776.706618878,79843339.221002,887339.8155864449,7084861.2678000005,11839671.257242
Asia,1952,2712147.0647319998,5891280.6478037005,82442088.520153,916938.41215598,7328095.936255,12254592.73067
Asia,1953,2934353.410338,5867532.04086954,85074196.127915,940904.825716494,7570964.00104,12709804.300915
Asia,1954,3220821.526433,6377843.39519986,88401851.10987,973212.57272393,7773609.81409,13355723.824867
Asia,1955,3574786.180946,7110535.339126309,91974619.1486,1008775.5075172699,7940729.4824,14201083.344655
Asia,1956,3864986.556142,7793793.8727619955,95613621.863775,1095769.3067438959,8127637.143990001,14748037.17716
Asia,1957,4343496.7291830005,9181580.676805051,100181059.15712,1192831.32943674,8342490.14809,15435306.84409
Asia,1958,5279700.99636,12145845.192004425,109235783.99384001,1360271.64166571,8610462.605976,16631719.45647
Asia,1959,6063319.548566,14232423.4643042,116941618.74492,1503681.0062064999,8885157.845835,17648831.5182
Asia,1960,6684986.294846,15493816.33674404,121422957.50772999,1597814.3121681002,9083227.87191,18437740.04842
Asia,1961,6417573.39973,14110508.68854366,119555983.19853,1501493.4486985,9392207.065524999,18679047.87339
Asia,1962,6548101.3253,13815618.217435,121177091.9227,1448936.9626924,9680543.32137,19228330.4805
Asia,1963,7025401.55146,13888952.2559321,125470152.8285,1436299.1394989998,10118799.23872,20026024.5359
Asia,1964,7520497.73023,14477147.256609,128842927.8158,1419236.369498,10213108.83674,20906202.17065
Asia,1965,8164596.59725,14987371.908685,134842161.2459,1411658.08658,10916772.07419,21948465.51345
