Year,Continent,Total_Pollutants
1922,Africa,14425557.5303186
1922,Asia,83784673.30562009
1922,Europe,90114160.73636809
1922,North America,99298296.11183457
1922,Oceania,1960828.66508595
1922,South America,7148538.061199
1923,Africa,14777433.8037911
1923,Asia,84668558.07628244
1923,Europe,89793680.8160952
1923,North America,120488851.4680439
1923,Oceania,1991454.11742856
1923,South America,7448101.54657
1924,Africa,15096229.4051055
1924,Asia,85462159.26097757
1924,Europe,96498382.3532992
1924,North America,112992484.2016672
1924,Oceania,2046556.7861634502
1924,South America,7810783.816301
1925,Africa,15376068.3559442
1925,Asia,85971357.01690228
1925,Europe,96817757.1949014
1925,North America,116073156.26348485
1925,Oceania,2089698.17788745
1925,South America,8119806.439198
1926,Africa,15763663.6167051
1926,Asia,86462595.34690641
1926,Europe,92262778.3221094
1926,North America,120702517.36844304
1926,Oceania,2107231.7160923504
1926,South America,8467764.667056
1927,Africa,16201094.9748589
1927,Asia,87542975.47336476
1927,Europe,101068803.2539342
1927,North America,123282415.07673655
1927,Oceania,2156030.6171339
1927,South America,8831185.243275
1928,Africa,16567684.1637542
1928,Asia,88148127.32323217
1928,Europe,100285917.3552063
1928,North America,122601147.0832187
1928,Oceania,2139015.7257268
1928,South America,8938627.953618
1929,Africa,16878182.0354598
1929,Asia,89102316.44729266
1929,Europe,104346085.1485564
1929,North America,130003253.94897573
1929,Oceania,2111570.65494596
1929,South America,9272277.54952
1930,Africa,17148332.98059585
1930,Asia,89682148.6606407
1930,Europe,100545712.773811
1930,North America,117525624.15431659
1930,Oceania,2078081.02117196
1930,South America,9343639.4827058
1931,Africa,17287917.4322867
1931,Asia,90113187.53014393
1931,Europe,97595521.8259194
1931,North America,105768772.6071621
1931,Oceania,1967805.0365252302
1931,South America,9303252.271976002
1932,Africa,17388494.1958844
1932,Asia,90673583.32537535
1932,Europe,94649557.7121102
1932,North America,95339852.68425101
1932,Oceania,1948958.1694901502
1932,South America,9112613.067486
1933,Africa,17936908.128738
1933,Asia,91878082.47464384
1933,Europe,96146040.6457987
1933,North America,101733177.12027389
1933,Oceania,1958053.378263
1933,South America,9560107.724919999
1934,Africa,18377181.385301
1934,Asia,93571707.5553978
1934,Europe,100450865.8373882
1934,North America,104848145.44818379
1934,Oceania,1974493.53571924
1934,South America,10028069.995519
1935,Africa,18727072.618737
1935,Asia,95006299.16126488
1935,Europe,103322807.3672154
1935,North America,110403647.5181177
1935,Oceania,2017576.38214374
1935,South America,10318329.466905
1936,Africa,19113345.093248602
1936,Asia,96476378.66911843
1936,Europe,105965314.3197057
1936,North America,120093341.803186
1936,Oceania,2062103.0319679999
1936,South America,10502714.324773
1937,Africa,19790186.6091167
1937,Asia,97681850.75991227
1937,Europe,110465528.8741254
1937,North America,129280953.5209379
1937,Oceania,2142872.0959578
1937,South America,11135133.024678
1938,Africa,20249571.3111633
1938,Asia,98920402.47371395
1938,Europe,109965283.1595968
1938,North America,117442460.74897799
1938,Oceania,2129454.6975887003
1938,South America,11166466.20091
1939,Africa,20770548.3909738
1939,Asia,100549867.45965065
1939,Europe,111152615.04935502
1939,North America,124715655.8634492
1939,Oceania,2241458.2136219996
1939,South America,11355796.994707
1940,Africa,21373504.8638856
1940,Asia,102669090.2938046
1940,Europe,113372766.6267461
1940,North America,135902334.41545632
1940,Oceania,2243375.716223
1940,South America,11445685.8993259
1941,Africa,21744112.6186408
1941,Asia,103871839.5940027
1941,Europe,111540440.2948233
1941,North America,143100131.0523814
1941,Oceania,2292115.8896152996
1941,South America,11864341.447878
1942,Africa,22326896.1393334
1942,Asia,103302559.4917324
1942,Europe,109663431.74668789
1942,North America,144191655.6192706
1942,Oceania,2296445.9705504
1942,South America,12075323.546061002
1943,Africa,22730160.419745002
1943,Asia,104137365.34252653
1943,Europe,110525165.2306144
1943,North America,149999554.6124256
1943,Oceania,2255295.3738265005
1943,South America,12397784.68869
1944,Africa,23229743.3381113
1944,Asia,103993601.20259002
1944,Europe,103851389.45422441
1944,North America,161450205.87770158
1944,Oceania,2226097.06866435
1944,South America,12775011.211350001
1945,Africa,23635638.5172115
1945,Asia,100788867.68862654
1945,Europe,86090080.6304878
1945,North America,160091888.2116558
1945,Oceania,2248171.74445177
1945,South America,13918655.630196001
1946,Africa,24130376.382946998
1946,Asia,100734972.23203555
1946,Europe,94681567.751264
1946,North America,156729627.835025
1946,Oceania,2197939.3429325
1946,South America,13011853.183997001
1947,Africa,24562754.696221
1947,Asia,95739325.21469499
1947,Europe,99994954.1890361
1947,North America,167180611.0308845
1947,Oceania,2232026.1536335396
1947,South America,13573521.637706
1948,Africa,25371167.984553
1948,Asia,97060607.84856316
1948,Europe,104162410.23596969
1948,North America,176620402.08541158
1948,Oceania,2232402.59742156
1948,South America,13969049.793378
1949,Africa,26244353.5893946
1949,Asia,100179215.11185335
1949,Europe,108731873.99130361
1949,North America,162979106.9722824
1949,Oceania,2226214.3025579597
1949,South America,14027679.077340001
1950,Africa,27995347.634100404
1950,Asia,102889110.5279538
1950,Europe,111934862.7545567
1950,North America,175124462.67080617
1950,Oceania,3340196.6107038255
1950,South America,15227861.833818002
1951,Africa,28563162.4934584
1951,Asia,107101018.24451934
1951,Europe,116611518.9428196
1951,North America,183083073.8954712
1951,Oceania,3552122.48040476
1951,South America,15753918.597674001
1952,Africa,29256907.475526
1952,Asia,111545143.31176968
1952,Europe,117653043.5681145
1952,North America,184149744.15954638
1952,Oceania,3678150.31848032
1952,South America,16309258.736828
1953,Africa,29529774.273417
1953,Asia,115097754.70679404
1953,Europe,117905908.9605893
1953,North America,188588714.50413415
1953,Oceania,3521370.65651117
1953,South America,16300614.2410041
1954,Africa,30066402.129072
1954,Asia,120103062.24318379
1954,Europe,121078546.4951631
1954,North America,186734750.17353582
1954,Oceania,4034765.4654316898
1954,South America,16721743.696345
1955,Africa,30598261.703151
1955,Asia,125810529.00324458
1955,Europe,125745247.9983326
1955,North America,199176858.32967374
1955,Oceania,4240077.940044044
1955,South America,18055539.507613
1956,Africa,31360236.3843847
1956,Asia,131243845.92057289
1956,Europe,129851031.24100511
1956,North America,205924980.74455965
1956,Oceania,4462355.458634556
1956,South America,18640419.603537
1957,Africa,31879727.030291002
1957,Asia,138676764.8847248
1957,Europe,131934251.6849467
1957,North America,201503076.67891258
1957,Oceania,4569066.393306537
1957,South America,19099688.136793
1958,Africa,32224978.534844
1958,Asia,153263783.88631612
1958,Europe,132007632.501505
1958,North America,201236208.70330927
1958,Oceania,4732614.051710057
1958,South America,18245129.952464
1959,Africa,32867854.889767
1959,Asia,165275032.1280317
1959,Europe,133221966.6235785
1959,North America,204871035.24359468
1959,Oceania,4895642.22906147
1959,South America,19855347.151239
1960,Africa,33646203.5311295
1960,Asia,172720542.37181816
1960,Europe,138331333.13413194
1960,North America,206902130.06417024
1960,Oceania,5314591.003990101
1960,South America,20201885.709024005
1961,Africa,34252395.746142
1961,Asia,169656813.67441717
1961,Europe,140186203.97024164
1961,North America,209076019.08229437
1961,Oceania,5399914.2402135
1961,South America,20356120.665334
1962,Africa,34755460.1659825
1962,Asia,171898622.2299974
1962,Europe,146037851.4998371
1962,North America,216078542.4756255
1962,Oceania,5506775.4712673
1962,South America,20682571.385281403
1963,Africa,35590475.501809
1963,Asia,177965629.55001113
1963,Europe,152259661.47974306
1963,North America,222571392.68098125
1963,Oceania,5829772.558526801
1963,South America,21464449.75397
1964,Africa,36972110.313523
1964,Asia,183379120.17952698
1964,Europe,155556955.23304927
1964,North America,229963228.14275184
1964,Oceania,6038802.1101130005
1964,South America,21830793.0439376
1965,Africa,38277705.117236
1965,Asia,192271025.426055
1965,Europe,157886399.1906812
1965,North America,236946939.47483662
1965,Oceania,6263363.1700812
1965,South America,22243940.4820824
1966,Africa,39537450.486244
1966,Asia,202506932.623452
1966,Europe,158766013.88421807
1966,North America,247615153.26608932
1966,Oceania,6474419.057827231
1966,South America,22573656.53687253
1967,Africa,40361898.813568
1967,Asia,206147076.59947
1967,Europe,161095614.66457585
1967,North America,253397095.30323976
1967,Oceania,6787025.2527404
1967,South America,23357658.1228224
1968,Africa,41665614.180746
1968,Asia,218870660.272205
1968,Europe,166385639.5869837
1968,North America,267920545.66784346
1968,Oceania,7268309.300324569
1968,South America,24224291.901543062
1969,Africa,43310121.130663
1969,Asia,231782009.577964
1969,Europe,173351231.45078537
1969,North America,279339430.72102755
1969,Oceania,7689644.542436471
1969,South America,25089893.565044038
1970,Africa,45028419.787374996
1970,Asia,252654185.674905
1970,Europe,182552286.9321437
1970,North America,290697629.04000086
1970,Oceania,8029820.282005999
1970,South America,25867598.9911947
1971,Africa,45181772.759507
1971,Asia,261833570.204045
1971,Europe,185757142.31462896
1971,North America,289019375.2305608
1971,Oceania,8298651.993697249
1971,South America,26423775.9040756
1972,Africa,46741352.627049
1972,Asia,270929755.265733
1972,Europe,189936900.78684032
1972,North America,295581147.3002706
1972,Oceania,8410443.50529337
1972,South America,26946782.22966272
1973,Africa,48235877.709141
1973,Asia,281577546.88031
1973,Europe,197757840.96703798
1973,North America,299440127.9658175
1973,Oceania,8835200.71567656
1973,South America,27905835.0996277
1974,Africa,49247039.794494
1974,Asia,288404010.852904
1974,Europe,197003475.87766218
1974,North America,283954325.4430642
1974,Oceania,9033248.41018776
1974,South America,29103868.88114993
1975,Africa,50264523.807265
1975,Asia,301255413.28206
1975,Europe,201116683.04416913
1975,North America,274242449.7975878
1975,Oceania,9308540.3272454
1975,South America,29387431.27960684
1976,Africa,52408365.476911
1976,Asia,308289900.608746
1976,Europe,207167813.2151016
1976,North America,284264053.66363996
1976,Oceania,9456008.715978341
1976,South America,30534123.01674263
1977,Africa,53877024.647779
1977,Asia,321419251.79435503
1977,Europe,208823845.28641796
1977,North America,288539205.8989064
1977,Oceania,9804016.25755745
1977,South America,30841297.394287333
1978,Africa,55386578.507628
1978,Asia,335723515.33358
1978,Europe,213828158.44022936
1978,North America,290205581.2236111
1978,Oceania,9965042.90728405
1978,South America,31615522.2281695
1979,Africa,56634898.869808
1979,Asia,347082005.18021
1979,Europe,218611079.36856887
1979,North America,281838992.1430348
1979,Oceania,10186925.9242149
1979,South America,33092016.04309235
1980,Africa,58326287.065211
1980,Asia,349973370.86969
1980,Europe,217617561.38178658
1980,North America,267670327.29058206
1980,Oceania,10251198.777063
1980,South America,33635840.68566722
1981,Africa,59225570.979260005
1981,Asia,350754098.945105
1981,Europe,212168602.59392518
1981,North America,262672336.3899328
1981,Oceania,10270869.98617865
1981,South America,33047826.346303537
1982,Africa,60215157.06597
1982,Asia,357049163.45358
1982,Europe,209917019.33971155
1982,North America,254559385.21318406
1982,Oceania,10470673.25908376
1982,South America,33246086.6738128
1983,Africa,61297608.385483
1983,Asia,364842079.573406
1983,Europe,206255548.32344368
1983,North America,251758346.83520082
1983,Oceania,10252761.34423149
1983,South America,33424711.81333118
1984,Africa,63011538.324007
1984,Asia,376263541.029416
1984,Europe,205787098.84718516
1984,North America,251675669.0626529
1984,Oceania,10542261.81268753
1984,South America,34937640.42877945
1985,Africa,64652747.100396
1985,Asia,388921647.49303997
1985,Europe,205776682.44270486
1985,North America,249790845.0490798
1985,Oceania,10687724.20322
1985,South America,35264067.56414353
1986,Africa,65418304.734863
1986,Asia,398167573.96933997
1986,Europe,207841396.89518294
1986,North America,243622753.71831188
1986,Oceania,10873268.708200311
1986,South America,36333287.323085405
